CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
663,11000,Green Initiatives,6.08,10000,24
602,25000,Working Capital,8.71,21000,24
706,24000,Community Projects,4.1,20000,12
604,17000,Inventory Purchase,8.69,15000,12
666,69000,Startup Capital,5.46,55000,36
739,96000,Equipment Purchase,5.38,84000,24
812,72000,Travel Costs,3.14,66000,48
785,51000,Agriculture Expenses,3.34,43000,72
806,22000,Equipment Purchase,3.0,21000,24
768,13000,Green Initiatives,3.2,12000,12
621,79000,Inventory Purchase,7.9,73000,36
754,45000,Training and Development,2.84,44000,12
659,68000,Inventory Purchase,6.91,56000,12
628,84000,Marketing and Advertising,7.26,68000,24
727,26000,Childcare Expenses,5.32,23000,48
751,72000,Healthcare Expenses,3.78,62000,60
748,50000,Business Expansion,4.15,44000,48
785,57000,Utility Payments,3.37,54000,12
600,85000,Technology Upgrade,7.85,76000,24
812,48000,Wedding Expenses,3.95,46000,48
780,17000,Education Fees,2.81,14000,60
732,20000,Travel Costs,4.57,17000,72
787,34000,Startup Capital,3.25,31000,12
713,65000,Emergency Personal Funds,5.43,58000,48
725,81000,Equipment Purchase,4.98,65000,36
728,83000,Utility Payments,5.38,78000,24
701,71000,Working Capital,5.39,65000,24
813,68000,Healthcare Expenses,3.79,64000,48
625,92000,Community Projects,6.98,76000,36
672,82000,Business Expansion,6.61,81000,72
608,70000,Startup Capital,7.09,62000,24
790,66000,Startup Capital,3.9,53000,12
833,96000,Travel Costs,2.78,77000,60
613,82000,Travel Costs,8.45,70000,60
706,6000,Emergency Business Funds,4.71,5000,24
682,90000,Business Expansion,5.53,78000,60
788,79000,Vehicle for Business Use,3.75,70000,48
768,80000,Startup Capital,2.82,70000,36
807,79000,Home Renovation,3.87,69000,72
615,88000,Inventory Purchase,7.6,85000,24
815,7000,Wedding Expenses,3.14,6000,72
765,22000,Technology Upgrade,3.59,18000,36
849,63000,Emergency Personal Funds,3.29,51000,60
812,90000,Emergency Personal Funds,3.0,74000,72
677,90000,Equipment Purchase,6.19,83000,36
680,72000,Emergency Business Funds,6.46,60000,12
666,76000,Emergency Personal Funds,6.24,73000,60
731,56000,Green Initiatives,4.18,49000,12
836,25000,Childcare Expenses,2.52,20000,60
802,43000,Technology Upgrade,3.27,42000,24
700,53000,Childcare Expenses,5.5,50000,60
727,37000,Vehicle for Business Use,4.81,32000,48
840,7000,Inventory Purchase,3.45,5000,12
644,10000,Travel Costs,7.61,8000,60
826,8000,Travel Costs,2.75,7000,60
800,31000,Emergency Personal Funds,3.08,25000,48
674,75000,Startup Capital,6.0,65000,12
766,25000,Marketing and Advertising,3.09,23000,24
751,6000,Equipment Purchase,3.35,5000,24
779,6000,Startup Capital,2.8,4000,12
641,49000,Home Renovation,8.9,44000,60
745,7000,Emergency Business Funds,4.8,6000,36
640,9000,Home Renovation,7.95,8000,72
776,40000,Marketing and Advertising,3.68,36000,12
737,90000,Agriculture Expenses,5.19,74000,72
628,70000,Business Expansion,7.13,68000,72
730,51000,Startup Capital,4.66,42000,12
630,50000,Home Renovation,7.98,41000,72
707,65000,Wedding Expenses,4.39,59000,72
677,11000,Childcare Expenses,6.0,10000,60
602,17000,Debt Consolidation,8.3,14000,60
718,28000,Home Renovation,4.76,24000,72
775,58000,Training and Development,3.2,47000,24
667,47000,Utility Payments,6.67,45000,36
627,67000,Equipment Purchase,7.06,55000,36
628,33000,Working Capital,7.9,27000,36
826,32000,Social Enterprise,3.02,29000,24
668,43000,Travel Costs,6.25,39000,72
771,9000,Community Projects,3.32,8000,24
758,59000,Education Fees,3.38,53000,48
776,15000,Vehicle for Business Use,3.85,12000,48
700,82000,Emergency Personal Funds,5.13,68000,48
664,78000,Emergency Business Funds,5.66,75000,36
615,38000,Home Renovation,7.82,30000,60
701,22000,Wedding Expenses,4.78,18000,48
622,41000,Emergency Business Funds,7.05,35000,12
774,55000,Healthcare Expenses,3.27,44000,60
712,7000,Emergency Personal Funds,5.4,5000,60
802,29000,Wedding Expenses,2.58,27000,48
627,24000,Social Enterprise,8.42,23000,12
773,23000,Social Enterprise,3.19,22000,24
821,26000,Emergency Business Funds,3.49,23000,12
709,24000,Education Fees,4.13,20000,72
728,53000,Green Initiatives,5.06,49000,24
600,52000,Marketing and Advertising,8.32,45000,24
833,71000,Inventory Purchase,2.76,57000,12
611,41000,Equipment Purchase,7.24,37000,36
697,27000,Training and Development,5.92,24000,36
829,67000,Green Initiatives,3.08,56000,36
686,15000,Green Initiatives,6.9,13000,24
825,75000,Vehicle for Business Use,2.72,60000,60
688,71000,Green Initiatives,6.07,58000,12
841,7000,Technology Upgrade,3.69,6000,24
782,44000,Emergency Personal Funds,3.8,37000,60
729,15000,Debt Consolidation,4.57,12000,72
826,63000,Business Expansion,2.91,54000,48
693,29000,Equipment Purchase,6.31,28000,24
700,66000,Emergency Business Funds,4.07,55000,12
807,71000,Home Renovation,2.93,68000,60
727,99000,Social Enterprise,4.26,96000,24
643,22000,Education Fees,8.36,21000,60
611,14000,Debt Consolidation,7.56,13000,72
830,56000,Technology Upgrade,3.53,50000,36
848,7000,Home Renovation,3.75,5000,48
786,97000,Startup Capital,3.06,91000,24
834,98000,Emergency Personal Funds,3.27,97000,60
704,50000,Social Enterprise,5.06,46000,36
772,41000,Home Renovation,2.85,39000,72
786,18000,Equipment Purchase,2.71,16000,24
795,29000,Education Fees,3.31,27000,60
758,10000,Marketing and Advertising,3.28,8000,24
835,57000,Marketing and Advertising,3.69,51000,24
647,58000,Business Expansion,8.85,49000,48
692,41000,Debt Consolidation,6.32,34000,48
643,20000,Wedding Expenses,8.77,18000,48
764,57000,Green Initiatives,3.41,48000,36
729,20000,Technology Upgrade,4.84,16000,24
715,53000,Wedding Expenses,4.86,50000,48
800,52000,Emergency Business Funds,2.69,48000,36
826,30000,Vehicle for Business Use,3.37,29000,48
796,52000,Marketing and Advertising,3.19,50000,36
736,30000,Green Initiatives,4.79,24000,24
625,31000,Utility Payments,8.91,29000,12
765,49000,Community Projects,2.9,42000,36
700,14000,Utility Payments,4.77,12000,12
735,40000,Education Fees,5.12,38000,72
727,91000,Inventory Purchase,4.9,78000,12
660,84000,Community Projects,6.48,75000,12
671,68000,Green Initiatives,6.49,67000,36
842,23000,Childcare Expenses,3.24,21000,60
608,26000,Inventory Purchase,7.29,25000,12
845,28000,Wedding Expenses,2.68,22000,72
647,37000,Travel Costs,7.28,31000,60
672,46000,Agriculture Expenses,5.69,43000,48
715,8000,Emergency Business Funds,4.65,6000,36
806,75000,Community Projects,3.41,65000,36
749,12000,Home Renovation,4.43,10000,48
809,37000,Emergency Personal Funds,3.34,34000,60
643,70000,Utility Payments,8.41,57000,24
637,23000,Startup Capital,7.01,21000,24
760,84000,Education Fees,3.55,76000,48
711,55000,Business Expansion,4.57,53000,60
651,58000,Travel Costs,5.57,47000,72
726,51000,Vehicle for Business Use,4.77,50000,60
600,29000,Agriculture Expenses,7.57,28000,72
783,32000,Inventory Purchase,3.12,31000,12
630,41000,Utility Payments,8.26,38000,36
820,27000,Technology Upgrade,3.11,25000,36
696,8000,Utility Payments,5.71,6000,36
642,16000,Utility Payments,8.02,14000,36
772,73000,Childcare Expenses,3.54,60000,48
788,64000,Equipment Purchase,3.49,58000,24
653,13000,Debt Consolidation,6.35,11000,60
822,88000,Wedding Expenses,3.3,81000,72
639,33000,Healthcare Expenses,7.86,28000,60
627,17000,Business Expansion,8.01,14000,48
793,44000,Green Initiatives,3.37,43000,12
834,76000,Green Initiatives,3.54,64000,24
654,46000,Technology Upgrade,6.9,38000,24
667,78000,Community Projects,6.64,73000,36
703,32000,Green Initiatives,4.53,30000,24
756,72000,Wedding Expenses,3.39,57000,60
763,86000,Childcare Expenses,3.58,76000,60
775,90000,Childcare Expenses,2.97,81000,60
682,40000,Social Enterprise,6.51,39000,36
692,84000,Education Fees,5.48,69000,60
780,82000,Vehicle for Business Use,3.77,73000,48
728,21000,Green Initiatives,5.01,19000,12
661,39000,Home Renovation,6.03,36000,48
645,11000,Marketing and Advertising,7.16,10000,24
692,72000,Childcare Expenses,5.78,61000,48
691,69000,Business Expansion,5.81,60000,72
625,23000,Emergency Personal Funds,8.38,21000,60
807,60000,Agriculture Expenses,3.13,57000,60
615,12000,Healthcare Expenses,7.4,10000,48
831,98000,Agriculture Expenses,2.84,81000,60
618,54000,Home Renovation,7.09,51000,48
695,75000,Wedding Expenses,6.07,66000,60
631,33000,Emergency Business Funds,8.67,28000,36
680,50000,Social Enterprise,5.63,48000,24
694,91000,Vehicle for Business Use,6.2,78000,60
644,43000,Agriculture Expenses,8.62,41000,48
641,26000,Agriculture Expenses,7.67,22000,72
691,38000,Vehicle for Business Use,5.63,33000,60
818,43000,Childcare Expenses,3.86,38000,48
651,92000,Community Projects,6.3,77000,24
651,96000,Wedding Expenses,5.96,83000,48
655,10000,Travel Costs,6.16,9000,48
719,27000,Inventory Purchase,5.15,25000,36
637,96000,Training and Development,7.9,86000,24
817,54000,Vehicle for Business Use,3.92,45000,60
841,90000,Business Expansion,3.51,80000,48
815,97000,Healthcare Expenses,3.81,89000,48
673,25000,Healthcare Expenses,6.18,21000,48
797,16000,Marketing and Advertising,3.75,14000,12
828,30000,Marketing and Advertising,2.52,24000,24
736,64000,Agriculture Expenses,4.97,57000,48
807,93000,Debt Consolidation,3.71,79000,60
819,98000,Childcare Expenses,2.76,82000,60
787,96000,Startup Capital,2.8,78000,12
775,34000,Startup Capital,3.56,29000,24
730,85000,Marketing and Advertising,5.27,82000,36
680,52000,Social Enterprise,6.56,47000,12
732,29000,Healthcare Expenses,4.33,27000,72
791,32000,Business Expansion,3.92,28000,72
848,87000,Startup Capital,2.65,76000,24
803,20000,Education Fees,3.21,16000,72
769,94000,Green Initiatives,3.15,75000,12
697,8000,Business Expansion,5.78,7000,60
839,74000,Travel Costs,3.62,64000,48
784,59000,Training and Development,2.63,50000,36
641,98000,Working Capital,8.33,90000,24
749,22000,Home Renovation,4.04,21000,72
731,73000,Business Expansion,4.19,60000,48
781,67000,Training and Development,3.5,63000,12
617,45000,Equipment Purchase,8.1,36000,24
703,83000,Emergency Personal Funds,4.53,74000,60
638,11000,Emergency Personal Funds,7.39,9000,60
815,67000,Emergency Business Funds,3.11,66000,24
620,100000,Vehicle for Business Use,8.52,98000,60
628,38000,Agriculture Expenses,8.01,32000,48
607,69000,Equipment Purchase,7.05,62000,12
725,23000,Green Initiatives,4.06,19000,24
623,89000,Social Enterprise,8.17,80000,24
816,34000,Green Initiatives,2.81,32000,12
797,40000,Debt Consolidation,3.54,33000,60
601,36000,Marketing and Advertising,7.13,32000,12
696,40000,Emergency Personal Funds,5.97,32000,72
783,80000,Emergency Business Funds,2.73,66000,36
726,96000,Emergency Personal Funds,4.65,89000,72
789,74000,Debt Consolidation,3.87,66000,48
805,78000,Business Expansion,3.0,70000,72
848,68000,Home Renovation,2.82,62000,72
785,56000,Marketing and Advertising,3.86,45000,24
747,10000,Utility Payments,4.45,9000,12
789,91000,Travel Costs,3.68,73000,48
752,87000,Startup Capital,2.53,72000,36
787,68000,Agriculture Expenses,2.75,58000,48
679,22000,Marketing and Advertising,6.64,21000,12
683,71000,Technology Upgrade,5.91,67000,24
803,97000,Home Renovation,3.63,82000,48
666,12000,Marketing and Advertising,6.81,11000,12
807,77000,Utility Payments,2.7,71000,24
730,81000,Emergency Personal Funds,4.72,75000,60
720,47000,Emergency Business Funds,4.27,46000,24
795,99000,Education Fees,3.63,85000,48
803,21000,Equipment Purchase,3.2,19000,36
699,66000,Technology Upgrade,6.56,64000,24
692,98000,Marketing and Advertising,5.88,88000,36
806,95000,Vehicle for Business Use,3.74,76000,48
662,22000,Education Fees,6.65,20000,48
703,10000,Debt Consolidation,4.5,9000,48
766,64000,Training and Development,2.51,52000,36
842,82000,Training and Development,2.8,68000,12
695,55000,Emergency Personal Funds,6.01,45000,72
601,63000,Wedding Expenses,8.73,60000,72
642,55000,Inventory Purchase,8.19,52000,12
624,16000,Social Enterprise,8.63,13000,24
790,58000,Green Initiatives,2.85,47000,36
602,91000,Education Fees,8.77,83000,48
637,93000,Equipment Purchase,7.8,77000,36
822,68000,Childcare Expenses,3.87,57000,60
780,51000,Wedding Expenses,3.75,47000,72
626,34000,Emergency Business Funds,8.43,28000,12
760,59000,Education Fees,3.22,54000,48
668,68000,Emergency Business Funds,5.74,57000,12
789,20000,Technology Upgrade,3.51,18000,12
603,6000,Inventory Purchase,8.32,5000,36
656,56000,Emergency Personal Funds,5.79,51000,48
839,41000,Marketing and Advertising,3.77,38000,36
662,71000,Agriculture Expenses,5.47,66000,48
812,57000,Community Projects,3.34,48000,24
781,31000,Healthcare Expenses,3.77,25000,60
652,20000,Debt Consolidation,5.67,19000,72
720,51000,Utility Payments,4.65,44000,24
721,85000,Vehicle for Business Use,4.73,78000,72
681,9000,Education Fees,5.63,8000,60
736,47000,Training and Development,4.32,44000,12
603,12000,Equipment Purchase,7.11,10000,36
691,61000,Startup Capital,6.62,54000,36
692,54000,Emergency Personal Funds,5.61,53000,48
631,79000,Business Expansion,8.44,68000,48
814,15000,Emergency Business Funds,3.58,12000,36
826,21000,Vehicle for Business Use,2.62,17000,60
659,100000,Wedding Expenses,6.36,83000,60
616,60000,Inventory Purchase,8.28,49000,24
683,73000,Childcare Expenses,5.55,60000,72
749,77000,Education Fees,5.45,70000,48
754,71000,Childcare Expenses,3.49,69000,60
773,81000,Training and Development,3.09,77000,24
622,26000,Debt Consolidation,7.58,23000,48
683,44000,Business Expansion,6.24,41000,72
737,54000,Working Capital,4.69,48000,24
781,57000,Training and Development,2.51,54000,24
671,71000,Training and Development,6.58,65000,12
614,99000,Home Renovation,7.07,92000,72
619,55000,Emergency Personal Funds,7.48,46000,60
791,5000,Working Capital,2.87,4000,36
653,78000,Working Capital,6.81,65000,24
698,41000,Childcare Expenses,5.94,34000,60
638,72000,Startup Capital,7.91,66000,36
645,52000,Training and Development,8.39,43000,36
820,30000,Technology Upgrade,2.49,25000,24
678,92000,Wedding Expenses,6.83,74000,48
648,46000,Startup Capital,7.93,41000,36
812,57000,Childcare Expenses,2.95,46000,60
736,64000,Training and Development,4.87,59000,24
643,75000,Marketing and Advertising,8.86,63000,12
711,66000,Home Renovation,4.63,62000,60
620,88000,Working Capital,7.6,86000,36
686,67000,Debt Consolidation,6.36,59000,48
772,32000,Community Projects,3.69,27000,12
849,99000,Travel Costs,2.62,85000,72
695,28000,Marketing and Advertising,6.37,26000,12
830,43000,Community Projects,2.84,38000,12
747,74000,Home Renovation,4.52,72000,72
734,88000,Training and Development,4.35,75000,36
755,57000,Emergency Personal Funds,2.74,53000,72
842,61000,Technology Upgrade,2.75,53000,36
816,14000,Travel Costs,2.94,12000,60
653,77000,Technology Upgrade,5.6,72000,12
728,81000,Wedding Expenses,4.49,66000,60
775,96000,Vehicle for Business Use,3.54,85000,48
604,46000,Utility Payments,7.19,40000,36
709,52000,Startup Capital,4.91,48000,12
633,37000,Inventory Purchase,7.91,36000,24
794,13000,Home Renovation,2.46,12000,48
793,53000,Emergency Business Funds,2.87,52000,24
782,82000,Home Renovation,3.07,81000,48
730,41000,Healthcare Expenses,4.04,40000,48
784,9000,Green Initiatives,2.78,7000,36
824,31000,Technology Upgrade,3.94,29000,36
683,9000,Startup Capital,6.4,7000,12
760,20000,Inventory Purchase,3.74,19000,36
668,39000,Inventory Purchase,6.6,38000,12
804,13000,Childcare Expenses,3.22,12000,72
648,50000,Working Capital,8.3,46000,24
709,84000,Business Expansion,4.17,71000,72
608,78000,Healthcare Expenses,8.07,73000,72
753,20000,Working Capital,2.92,18000,24
785,92000,Travel Costs,3.66,84000,72
670,65000,Vehicle for Business Use,5.98,59000,60
755,71000,Home Renovation,2.83,58000,48
829,23000,Technology Upgrade,3.42,18000,12
617,19000,Equipment Purchase,8.74,18000,24
710,20000,Healthcare Expenses,4.69,18000,48
764,44000,Travel Costs,2.78,38000,48
786,51000,Training and Development,3.53,45000,24
796,83000,Green Initiatives,2.95,69000,36
689,76000,Healthcare Expenses,6.47,68000,48
799,9000,Agriculture Expenses,2.83,8000,72
839,27000,Healthcare Expenses,3.56,26000,72
616,44000,Equipment Purchase,7.84,42000,36
678,96000,Utility Payments,6.73,93000,24
671,88000,Utility Payments,6.45,84000,36
827,83000,Childcare Expenses,2.82,81000,60
763,23000,Community Projects,2.59,19000,12
768,41000,Inventory Purchase,3.51,39000,24
847,49000,Childcare Expenses,3.61,48000,60
751,5000,Marketing and Advertising,3.71,4000,24
736,46000,Healthcare Expenses,5.5,43000,72
716,58000,Home Renovation,4.71,55000,48
685,93000,Emergency Personal Funds,5.89,79000,72
605,85000,Emergency Business Funds,7.38,82000,36
813,45000,Technology Upgrade,2.8,37000,24
688,91000,Green Initiatives,6.35,83000,24
669,14000,Startup Capital,5.54,13000,36
665,77000,Equipment Purchase,6.35,63000,36
719,76000,Travel Costs,4.31,75000,72
680,34000,Technology Upgrade,6.64,30000,12
809,64000,Healthcare Expenses,3.02,63000,72
757,66000,Home Renovation,2.69,63000,72
770,22000,Education Fees,3.49,17000,60
737,51000,Technology Upgrade,5.13,43000,24
779,25000,Equipment Purchase,2.93,20000,36
750,76000,Equipment Purchase,2.71,74000,12
788,34000,Home Renovation,2.78,27000,48
725,83000,Vehicle for Business Use,4.32,74000,60
754,7000,Healthcare Expenses,3.84,6000,72
666,81000,Healthcare Expenses,6.68,78000,48
764,86000,Travel Costs,2.97,84000,48
627,83000,Inventory Purchase,6.99,80000,36
736,10000,Debt Consolidation,4.97,8000,72
817,78000,Working Capital,3.19,64000,36
800,24000,Equipment Purchase,2.81,21000,24
693,95000,Business Expansion,5.54,86000,48
743,54000,Emergency Business Funds,5.02,52000,12
846,86000,Wedding Expenses,3.63,76000,60
661,74000,Emergency Personal Funds,6.36,73000,60
827,36000,Equipment Purchase,3.37,32000,12
789,96000,Travel Costs,3.84,95000,48
659,8000,Technology Upgrade,6.31,7000,12
710,15000,Green Initiatives,5.36,14000,12
644,8000,Green Initiatives,6.99,6000,36
803,87000,Education Fees,3.57,70000,72
771,81000,Utility Payments,3.24,76000,36
803,58000,Technology Upgrade,2.65,57000,12
605,28000,Inventory Purchase,8.54,27000,24
635,13000,Working Capital,7.43,10000,12
638,62000,Home Renovation,8.69,56000,60
608,97000,Startup Capital,7.14,94000,24
817,38000,Home Renovation,2.9,32000,60
655,5000,Travel Costs,5.91,4000,60
693,80000,Business Expansion,5.63,71000,48
814,32000,Childcare Expenses,3.05,28000,60
844,9000,Utility Payments,3.04,7000,36
769,57000,Emergency Personal Funds,3.45,56000,72
620,68000,Social Enterprise,7.61,57000,36
694,9000,Debt Consolidation,6.21,9000,60
755,38000,Agriculture Expenses,2.69,32000,60
